# z_phot   ref_z_phot  
  1.51     1           
  1.15     1           
  0.98     1           
  0.51     2           
  0.88     2           
  2.54     1           
  1.24     2           
  2.22     1           
  1.69     1           
  3.65     2           
  2.21     2           
  1.06     1           
  0.81     1           
  1.54     1           
  3.57     1           
  0.15     1           
  1.36     1           
  0.63     1           
  0.01     1           
  0.37     2           
  1.76     1           
  1.14     1           
  1.68     1           
  1.02     1           
  0.99     2           
  1.36     1           
  1.0      1           
  0.01     1           
  0.63     1           
  1.16     2           
  1.2      2           
  1.43     1           
  1.74     1           
  2.54     1           
  2.11     1           
  1.06     1           
  1.32     2           
  -99.0    -99         
  0.92     1           
  1.22     2           
  0.24     2           
  0.72     1           
  1.94     1           
  1.84     1           
  2.25     1           
  1.13     1           
  1.54     2           
  0.48     1           
  1.18     2           
  2.3      1           
  0.58     1           
  1.34     2           
  1.59     1           
  1.03     2           
  1.98     1           
  0.82     1           
  0.06     2           
  0.93     2           
  2.73     2           
  1.9      1           
  0.81     1           
  -99.0    -99         
  2.18     1           
  1.52     1           
  2.03     1           
  1.01     2           
  1.2      1           
  0.56     1           
  0.79     1           
  0.75     1           
  0.99     2           
  0.82     1           
  1.14     1           
  1.83     1           
  1.16     2           
  0.9      1           
  1.39     1           
  -99.0    -99         
  0.84     2           
  0.93     2           
  0.64     1           
  0.88     2           
  1.27     1           
  0.94     1           
  0.63     1           
  1.71     1           
  1.51     2           
  1.0      1           
  1.73     2           
  0.97     2           
  1.01     1           
  2.06     1           
  2.31     1           
  1.77     1           
  0.27     1           
  0.89     1           
  0.76     2           
  0.62     1           
  1.84     1           
  3.21     2           
  2.99     1           
  1.0      1           
  0.37     1           
  0.33     1           
  2.63     1           
  1.21     2           
  1.71     1           
  0.81     1           
  2.26     1           
  0.99     1           
  0.99     1           
  2.92     2           
  4.37     1           
  1.15     1           
  0.88     1           
  1.02     1           
  2.04     2           
  1.33     1           
  2.04     1           
  0.41     1           
  1.71     1           
  0.95     1           
  1.57     2           
  1.63     2           
  1.54     1           
  0.43     1           
  -99.0    -99         
  0.24     1           
  0.62     1           
  0.88     1           
  2.4      1           
  1.04     1           
  0.56     1           
  1.16     1           
  1.05     1           
  1.8      1           
  0.99     1           
  3.19     1           
  0.98     1           
  0.99     1           
  0.64     1           
  0.54     1           
  0.25     1           
  0.98     1           
  4.26     2           
  0.98     1           
  0.27     1           
  0.26     1           
  1.38     1           
  4.06     1           
  0.97     1           
  1.05     1           
  0.57     1           
  1.15     1           
  1.45     1           
  3.31     1           
  3.11     1           
  2.37     1           
  1.78     1           
  0.75     1           
  1.63     1           
  0.83     1           
  1.19     1           
  1.17     1           
  0.78     1           
  1.2      1           
  0.88     1           
  0.8      1           
  0.34     1           
  4.25     1           
  1.49     1           
  2.29     1           
  1.03     1           
  0.94     1           
  1.22     1           
  1.15     1           
  2.39     1           
  3.03     1           
  0.19     1           
  0.36     2           
  0.47     1           
  0.97     1           
  2.04     1           
  1.0      1           
  0.28     1           
  0.09     1           
  0.75     2           
  1.83     1           
  0.29     1           
  0.62     1           
  0.94     1           
  1.17     1           
  1.18     1           
  0.96     1           
  1.05     1           
  2.08     1           
  0.49     1           
  0.25     1           
  1.66     1           
  0.3      1           
  0.96     1           
  0.29     1           
  1.88     1           
  2.04     1           
  0.82     1           
  0.24     1           
  1.03     1           
  0.8      1           
  1.11     1           
  0.94     2           
  3.41     2           
  2.23     1           
  2.15     1           
  0.26     1           
  0.55     2           
  1.14     1           
  1.34     1           
  1.06     1           
  4.38     1           
  0.79     1           
  1.01     2           
  2.21     1           
  0.32     1           
  1.45     1           
  1.61     1           
  2.7      1           
  1.58     2           
  0.49     1           
  0.29     1           
  2.26     1           
  0.48     1           
  2.29     1           
  0.53     1           
  0.89     1           
  1.14     1           
  1.08     1           
  1.27     2           
  0.86     1           
  0.83     2           
  0.61     1           
  1.15     1           
  0.31     1           
  0.83     1           
  2.31     1           
  1.66     1           
  1.09     1           
  0.65     1           
  0.94     1           
  0.63     1           
  1.45     1           
  1.17     1           
  2.39     1           
  0.91     1           
  1.09     2           
  4.01     1           
  1.27     1           
  0.43     2           
  0.58     2           
  1.81     1           
  2.14     1           
  2.52     1           
  0.59     1           
  2.33     1           
  5.25     1           
  0.76     1           
  2.29     1           
  1.27     1           
  1.11     1           
  0.87     1           
  2.17     1           
  -99.0    -99         
  0.82     1           
  1.28     1           
  0.89     1           
  1.21     1           
  3.56     1           
  0.84     1           
  1.26     1           
  2.53     1           
  0.95     1           
  0.23     1           
  1.94     1           
  2.09     2           
  2.95     1           
  0.92     1           
  1.54     1           
  0.34     1           
  3.49     1           
  1.21     1           
  1.27     1           
  2.04     1           
  1.18     1           
  2.07     1           
  1.15     1           
  1.15     1           
  2.07     1           
  0.96     1           
  1.0      2           
  0.98     2           
  1.21     1           
  0.89     1           
  1.34     1           
  2.44     1           
  0.18     1           
  2.11     1           
  1.62     1           
  -99.0    -99         
  2.75     1           
  1.79     1           
  1.74     1           
  0.02     2           
  1.5      2           
  0.68     1           
  2.25     1           
  0.63     2           
  0.85     1           
  1.61     1           
  1.62     1           
  1.28     1           
  0.96     1           
  2.24     1           
  1.37     1           
  0.73     1           
  0.95     1           
  0.48     1           
  0.95     1           
  2.49     1           
  2.68     1           
  0.79     1           
  3.17     1           
  0.51     1           
  2.37     1           
  1.6      1           
  0.82     1           
  1.4      1           
  1.27     1           
  1.37     2           
  1.47     1           
  0.96     1           
  1.75     1           
  1.17     1           
  0.48     1           
  0.22     1           
  0.21     1           
  2.4      1           
  1.16     1           
  0.21     1           
  2.31     1           
  0.57     1           
  1.18     1           
  0.81     1           
  1.42     1           
  0.48     1           
  0.81     1           
  0.83     1           
  0.04     1           
  1.83     1           
  1.14     2           
  1.18     1           
  1.29     1           
  0.6      1           
  -99.0    -99         
  0.89     2           
  0.27     2           
  1.3      2           
  1.32     1           
  2.1      1           
  0.41     2           
  2.37     2           
  0.71     1           
  2.01     1           
  0.21     1           
  1.75     1           
  2.31     1           
  0.95     1           
  1.65     1           
  1.52     1           
  2.28     1           
  1.37     1           
  1.63     2           
  3.38     1           
  0.54     1           
  0.54     1           
  -99.0    -99         
  1.7      1           
  1.59     1           
  1.0      1           
  1.47     1           
  2.0      1           
  1.78     1           
  0.55     1           
  0.48     1           
  1.21     2           
  0.91     1           
  0.89     2           
  0.61     1           
  1.69     1           
  2.44     2           
  2.14     1           
  0.57     1           
  0.4      2           
  2.34     1           
  0.95     1           
  1.14     1           
  2.23     2           
  2.17     1           
  1.21     1           
  1.18     2           
  1.51     2           
  0.82     1           
  3.17     1           
  2.53     1           
  1.21     1           
  2.18     1           
  0.92     1           
  1.29     1           
  0.88     1           
  0.88     1           
  0.31     1           
  0.54     1           
  4.15     2           
  3.08     1           
  1.24     1           
  0.5      1           
  0.55     1           
  0.83     1           
  0.94     1           
  1.71     1           
  1.81     1           
  1.11     1           
  0.88     1           
  0.96     1           
  1.26     1           
  0.73     1           
  0.62     1           
  1.77     1           
  2.34     1           
  3.39     1           
  0.82     2           
  5.42     1           
  0.92     2           
  2.32     1           
  2.37     1           
  0.54     1           
  1.81     1           
  0.64     1           
  1.24     1           
  2.31     2           
  2.2      1           
  0.97     1           
  2.46     1           
  1.49     1           
  1.01     2           
  1.0      1           
  0.58     1           
  0.39     1           
  2.24     1           
  0.74     1           
  0.33     2           
  1.78     1           
  0.61     1           
  4.48     1           
  1.84     1           
  2.39     1           
  2.3      1           
  1.01     2           
  0.63     1           
  1.99     1           
  0.28     1           
  1.02     1           
  1.95     1           
  2.12     1           
  0.79     1           
  -99.0    -99         
  2.39     1           
  1.99     1           
  0.39     1           
  1.43     1           
  0.67     1           
  0.76     2           
  0.7      1           
  1.01     1           
  2.12     1           
  1.67     1           
  2.36     1           
  0.08     1           
  0.86     1           
  0.19     1           
  0.96     1           
  1.69     1           
  0.91     1           
  1.67     1           
  1.77     1           
  0.65     1           
  0.49     1           
  1.72     1           
  2.35     1           
  1.25     1           
  1.06     1           
  0.22     1           
  0.25     1           
  0.35     1           
  4.66     1           
  2.73     1           
  0.81     1           
  1.44     1           
  0.28     1           
  0.54     1           
  0.93     1           
  0.93     1           
  1.2      1           
  0.95     1           
  0.88     1           
  2.8      1           
  1.62     1           
  2.14     1           
  0.85     1           
  0.91     1           
  2.46     1           
  2.39     1           
  1.18     1           
  1.7      1           
  1.61     1           
  1.3      1           
  0.72     1           
  1.67     1           
  3.44     1           
  1.96     1           
  1.0      1           
  0.6      1           
  0.88     1           
  0.65     1           
  1.28     1           
  1.14     1           
  0.92     1           
  1.98     1           
  0.64     1           
  0.51     1           
  2.08     1           
  1.64     1           
  1.15     1           
  1.16     1           
  1.15     1           
  1.57     1           
  0.64     1           
  1.96     1           
  1.17     1           
  1.14     1           
  -99.0    -99         
  1.99     1           
  1.53     1           
  2.23     1           
  0.76     1           
  0.97     1           
  2.19     1           
  1.78     1           
  0.47     1           
  1.0      2           
  1.64     1           
  2.41     1           
  2.1      1           
  1.15     1           
  2.04     1           
  1.15     1           
  1.45     1           
  1.76     1           
  0.31     1           
  0.44     1           
  3.19     1           
  1.05     1           
  1.07     1           
  1.64     1           
  0.65     1           
  1.91     1           
  0.66     1           
  0.28     1           
  0.99     1           
  2.61     2           
  1.93     1           
  0.82     1           
  1.44     1           
  1.74     1           
  1.0      1           
  0.73     1           
  0.73     1           
  0.81     1           
  3.71     1           
  0.95     1           
  1.67     1           
  0.22     1           
  0.79     1           
  1.13     1           
  1.25     1           
  0.86     1           
  0.3      1           
  0.45     1           
  2.37     1           
  2.38     1           
  0.46     1           
  1.09     1           
  1.13     1           
  0.65     1           
  2.24     1           
  2.31     1           
  0.67     1           
  0.25     1           
  2.41     1           
  2.62     1           
  2.11     1           
  0.41     1           
  2.14     1           
  2.18     1           
  2.24     1           
  0.47     1           
  0.87     1           
  0.18     1           
  1.14     2           
  1.31     1           
  1.86     1           
  1.07     2           
  0.03     1           
  1.35     1           
  0.64     1           
  0.43     1           
  3.21     1           
  1.19     1           
  1.25     1           
  0.78     1           
  2.04     1           
  2.32     1           
  1.85     1           
  1.37     1           
  0.66     1           
  2.17     1           
  1.32     1           
  0.53     1           
  0.51     2           
  0.84     1           
  1.21     1           
  1.68     1           
  0.59     2           
  1.76     1           
  2.09     1           
  0.3      1           
  0.97     1           
  1.42     2           
  4.07     1           
  0.38     1           
  0.89     1           
  3.39     1           
  0.88     1           
  2.42     1           
  1.6      1           
  1.66     1           
  0.78     1           
  1.6      1           
  1.47     1           
  0.6      1           
  0.43     1           
  3.06     1           
  0.3      1           
  0.3      1           
  1.24     1           
  1.97     1           
  2.26     1           
  0.99     1           
  0.76     1           
  2.19     1           
  0.37     1           
  2.22     1           
  0.03     1           
  1.2      1           
  2.14     1           
  2.31     1           
  1.82     1           
  0.48     1           
  0.92     1           
  1.69     1           
  1.57     2           
  1.25     1           
  0.9      1           
  1.14     1           
  0.78     1           
  1.88     1           
  0.55     1           
  2.09     1           
  1.52     1           
  3.35     1           
  0.78     1           
  0.58     1           
  0.66     1           
  2.53     1           
  1.87     1           
  0.65     1           
  0.54     1           
  0.17     1           
  0.91     1           
  2.56     1           
  2.09     2           
  1.14     1           
  1.78     2           
  0.79     1           
  0.44     1           
  0.6      1           
  0.93     1           
  2.27     1           
  3.37     1           
  2.36     1           
  0.65     1           
  0.46     2           
  1.23     2           
  1.08     1           
  0.88     1           
  0.69     2           
  0.39     1           
  1.6      1           
  1.74     1           
  0.25     1           
  0.39     1           
  1.03     1           
  1.0      1           
  1.82     1           
  0.52     1           
  1.15     1           
  2.05     1           
  1.52     1           
  0.47     1           
  1.65     1           
  0.91     1           
  0.38     1           
  2.06     1           
  1.61     1           
  0.73     1           
  1.77     1           
  1.45     1           
  1.13     1           
  0.96     1           
  1.37     1           
  1.06     1           
  1.4      1           
  1.08     2           
  0.01     1           
  2.22     1           
  1.53     1           
  0.62     1           
  0.96     1           
  1.18     1           
  1.46     1           
  1.83     2           
  3.27     1           
  0.33     1           
  2.99     1           
  0.46     1           
  0.15     2           
  0.89     1           
  -99.0    -99         
  0.84     1           
  0.53     2           
  0.52     2           
  1.99     1           
  0.86     1           
  0.41     1           
  1.93     1           
  1.08     1           
  2.24     1           
  1.67     1           
  0.72     1           
  1.46     2           
  1.05     1           
  1.32     2           
  1.25     1           
  2.21     1           
  1.65     1           
  0.85     1           
  0.29     1           
  0.85     1           
  1.03     1           
  0.83     1           
  1.81     1           
  3.91     1           
  1.24     1           
  2.15     1           
  2.1      1           
  0.47     1           
  1.65     2           
  0.89     1           
  0.65     1           
  0.88     1           
  1.93     1           
  2.59     1           
  1.66     2           
  0.88     2           
  3.47     1           
  2.01     1           
  1.19     1           
  1.43     1           
  0.47     1           
  1.42     1           
  0.3      1           
  1.18     1           
  2.58     1           
  0.79     1           
  2.13     1           
  1.07     1           
  1.0      1           
  3.08     1           
  1.39     2           
  0.3      1           
  0.69     2           
  3.29     1           
  0.75     1           
  1.46     1           
  0.48     1           
  0.84     1           
  1.21     1           
  3.19     2           
  1.6      1           
  2.2      1           
  2.55     1           
  1.29     1           
  1.85     2           
  0.92     1           
  0.47     2           
  1.54     1           
  0.7      1           
  2.72     1           
  5.34     1           
  0.92     1           
  0.84     1           
  1.38     1           
  0.58     1           
  3.13     1           
  0.33     1           
  0.88     1           
  0.4      1           
  0.01     1           
  0.64     1           
  2.15     1           
  0.92     1           
  1.77     2           
  0.92     1           
  0.48     1           
  1.84     1           
  1.11     1           
  0.73     1           
  0.99     1           
  0.98     1           
  2.44     1           
  0.95     1           
  1.71     1           
  1.92     1           
  1.18     1           
  1.55     1           
  0.79     1           
  1.12     1           
  0.16     1           
  1.49     2           
  -99.0    -99         
  0.59     2           
  0.43     1           
  2.45     1           
  2.58     1           
  0.85     1           
  0.84     1           
  2.47     1           
  0.48     1           
  0.49     2           
  0.84     1           
  0.44     1           
  1.53     1           
  1.62     1           
  0.82     1           
  2.2      1           
  1.16     1           
  0.64     1           
  0.01     1           
  2.86     1           
  1.95     2           
  2.37     1           
  0.49     1           
  2.22     1           
  0.9      1           
  3.2      1           
  0.49     1           
  0.52     2           
  1.99     1           
  2.53     1           
  1.49     1           
  1.92     1           
  0.36     2           
  0.51     1           
  0.88     1           
  0.67     1           
  0.49     1           
  2.46     1           
  0.77     1           
  0.84     1           
  1.97     1           
  1.59     1           
  0.9      1           
  1.86     1           
  1.09     2           
  0.55     1           
  1.26     1           
  5.47     1           
  0.95     1           
  -99.0    -99         
  0.45     2           
  0.47     1           
  1.76     1           
  0.65     1           
  2.96     1           
  0.87     1           
  0.98     1           
  2.55     1           
  2.25     1           
  2.58     1           
  1.57     1           
  1.46     1           
  1.4      2           
  1.46     1           
  1.2      1           
  0.8      1           
  1.26     2           
  3.8      1           
  1.05     1           
  0.78     1           
  1.19     1           
  0.35     2           
  0.86     1           
  2.06     1           
  1.24     1           
  0.83     1           
  0.82     1           
  2.18     1           
  1.74     1           
  0.97     1           
  0.93     1           
  1.63     1           
  1.25     1           
  0.88     1           
  1.01     1           
  0.85     1           
  1.42     1           
  0.54     1           
  1.78     1           
  0.83     1           
  0.93     1           
  1.13     1           
  2.03     1           
  2.65     1           
  1.21     1           
  1.27     1           
  1.44     2           
  1.89     1           
  -99.0    -99         
  1.14     1           
  0.91     1           
  0.28     2           
  1.58     1           
  1.78     1           
  0.83     1           
  3.12     1           
  0.5      1           
  1.89     1           
  1.67     2           
  0.62     1           
  0.84     1           
  0.48     1           
  -99.0    -99         
  0.54     2           
  1.43     1           
  1.11     1           
  1.46     2           
  2.42     1           
  1.43     1           
  -99.0    -99         
  2.9      1           
  2.28     2           
  2.42     1           
  1.3      1           
  0.47     1           
  0.89     1           
  0.36     1           
  0.42     1           
  1.93     1           
  1.9      1           
  2.34     1           
  0.38     1           
  0.83     1           
  0.36     1           
  2.2      1           
  2.19     1           
  0.44     1           
  0.48     1           
  1.4      1           
  0.97     1           
  0.89     1           
  -99.0    -99         
  0.8      1           
  0.89     1           
  0.44     1           
  0.45     1           
  0.83     1           
  0.88     1           
  0.27     1           
  0.83     1           
  0.95     1           
  3.1      1           
  0.59     1           
  0.78     1           
  0.15     1           
  0.98     1           
  1.03     2           
  1.55     1           
  0.95     1           
  1.29     1           
  0.93     1           
  1.15     2           
  0.85     1           
  2.65     1           
  0.77     1           
  1.4      1           
  0.62     1           
  0.02     1           
  0.5      1           
  0.49     1           
  1.06     1           
  0.46     1           
  0.44     1           
  1.41     1           
  0.92     1           
  0.1      1           
  2.13     1           
  3.29     1           
  0.48     1           
  1.52     2           
  0.92     1           
  1.53     2           
  0.95     1           
  1.37     1           
  0.19     1           
  1.68     1           
  2.01     1           
  1.23     1           
  1.44     1           
  1.46     1           
  1.43     1           
  2.17     1           
  1.44     1           
  0.97     1           
  1.27     1           
  2.16     2           
  0.43     1           
  0.48     1           
  0.08     1           
  2.32     1           
  1.69     1           
  2.3      2           
  0.94     1           
  0.41     1           
  1.16     1           
  3.52     2           
  0.83     1           
  0.93     1           
  0.26     1           
  1.53     1           
  1.68     1           
  1.11     1           
  0.55     1           
  0.84     1           
  2.68     1           
  1.2      1           
  0.14     1           
  0.3      1           
  0.86     1           
  0.96     1           
  0.95     1           
  0.88     1           
  2.99     1           
  2.44     1           
  2.25     1           
  0.48     2           
  0.98     1           
  3.47     1           
  2.01     2           
  2.25     1           
  1.27     1           
  0.44     1           
  2.37     2           
  0.85     1           
  2.74     1           
  1.49     2           
  2.31     1           
  1.25     1           
  0.98     1           
  1.66     1           
  1.88     1           
  -99.0    -99         
  2.28     1           
  3.14     1           
  1.14     1           
  1.94     1           
  1.91     1           
  1.31     2           
  2.04     1           
  1.36     1           
  0.3      1           
  0.47     1           
  0.62     1           
  2.71     1           
  0.01     1           
  1.79     1           
  1.23     1           
  4.03     2           
  0.93     1           
  1.94     1           
  0.35     1           
  2.43     1           
  1.93     1           
  0.42     1           
  0.94     1           
  1.18     1           
  1.59     1           
  1.46     1           
  0.86     2           
  1.2      2           
  1.49     1           
  0.62     1           
  1.62     1           
  1.56     2           
  0.54     2           
  1.43     1           
  0.89     1           
  0.08     1           
  -99.0    -99         
  0.86     1           
  0.49     1           
  2.72     2           
  0.95     1           
  0.94     1           
  0.38     1           
  0.98     1           
  2.15     1           
  2.59     2           
  2.06     1           
  1.58     1           
  2.69     1           
  3.19     1           
  0.3      1           
  3.13     1           
  1.78     2           
  0.99     1           
  1.62     1           
  0.86     1           
  0.56     1           
  1.65     2           
  2.02     2           
  0.51     1           
  0.45     1           
  0.58     1           
  0.94     1           
  0.17     1           
  0.66     1           
  3.04     1           
  0.66     1           
  2.41     1           
  0.5      1           
  0.36     1           
  2.33     1           
  0.67     1           
  1.01     1           
  0.94     1           
  1.71     1           
  0.31     1           
  2.26     1           
  0.54     2           
  1.75     1           
  0.44     1           
  2.31     1           
  4.2      1           
  0.87     1           
  2.34     1           
  1.01     1           
  2.5      1           
  1.16     1           
  1.25     1           
  1.02     2           
  2.33     1           
  1.15     1           
  1.17     2           
  1.04     2           
  0.19     2           
  -99.0    -99         
  2.12     1           
  2.48     1           
  0.98     1           
  0.94     1           
  2.16     1           
  1.45     2           
  1.67     1           
  0.92     1           
  1.0      1           
  0.71     1           
  0.01     1           
  0.77     1           
  3.05     1           
  0.99     1           
  1.4      1           
  -99.0    -99         
  1.04     1           
  0.75     1           
  0.97     1           
  1.75     2           
  2.58     1           
  1.14     1           
  1.18     2           
  0.55     2           
  1.18     1           
  2.39     1           
  1.41     2           
  0.31     1           
  0.94     1           
  1.15     1           
  0.85     1           
  3.03     1           
  0.74     1           
  2.16     1           
  0.6      2           
  2.6      1           
  1.26     2           
  0.75     1           
  1.0      1           
  0.83     1           
  0.92     1           
  0.83     1           
  0.81     1           
  0.63     1           
  0.87     1           
  2.39     1           
  0.11     2           
  0.72     1           
  0.89     1           
  1.47     1           
  1.79     1           
  0.36     2           
  0.96     2           
  -99.0    -99         
  1.73     1           
  3.0      1           
  1.52     1           
  2.21     1           
  2.26     1           
  1.2      1           
  0.69     1           
  1.94     2           
  1.01     1           
  1.48     1           
  2.68     1           
  0.78     1           
  0.21     1           
  1.78     1           
  1.46     1           
  0.08     2           
  0.52     1           
  0.72     1           
  0.83     1           
  0.3      1           
  2.28     1           
  0.76     1           
  2.93     1           
  0.62     1           
  1.59     2           
  1.34     1           
  0.65     1           
  2.55     2           
  3.17     1           
  2.39     1           
  0.46     1           
  1.05     1           
  0.37     1           
  1.84     2           
  1.4      1           
  1.4      2           
  1.68     1           
  0.31     1           
  0.64     2           
  1.52     1           
  3.37     1           
  1.96     1           
  2.21     1           
  1.91     1           
  0.45     2           
  0.48     2           
  1.44     1           
  3.0      1           
  2.46     2           
  2.09     2           
  0.76     1           
  3.21     1           
  0.6      1           
  1.1      2           
  2.51     1           
  0.51     2           
  1.37     1           
  2.51     1           
  1.19     2           
  1.62     2           
  0.76     2           
  1.42     1           
  1.4      1           
  0.96     1           
  0.42     1           
  1.8      1           
  1.11     1           
  1.15     1           
  0.84     1           
  0.91     1           
  1.17     1           
  2.02     1           
  0.76     2           
  0.43     1           
  3.31     1           
  1.13     1           
  0.83     1           
  0.01     1           
  0.39     1           
  0.55     1           
  1.64     1           
  1.17     2           
  1.28     2           
  2.04     1           
  0.84     1           
  0.42     1           
  0.48     1           
  0.58     1           
  0.61     1           
  0.25     1           
  1.23     1           
  0.99     1           
  0.3      2           
  1.12     1           
  0.47     1           
  0.58     2           
  0.58     2           
  0.78     1           
  0.74     1           
  0.56     2           
  1.7      1           
  1.04     1           
  0.57     2           
  0.83     1           
  0.57     1           
  2.47     1           
  1.51     1           
  1.68     2           
  2.38     1           
  0.43     1           
  1.13     2           
  0.15     1           
  1.11     1           
  1.69     2           
  0.99     2           
  1.04     1           
  0.65     1           
  1.29     2           
  0.73     1           
  0.94     1           
  0.64     2           
  0.49     2           
  0.5      1           
  0.96     1           
  1.91     1           
  0.87     1           
  1.01     1           
  0.97     2           
  2.89     2           
  0.74     1           
  1.99     1           
  0.36     1           
  1.59     1           
  0.67     1           
  0.91     2           
  2.96     1           
  1.32     2           
  1.25     2           
  0.94     1           
  0.5      1           
  1.95     1           
  0.46     1           
  2.12     2           
  0.99     1           
  1.52     1           
  1.96     1           
  0.97     2           
  1.13     1           
  3.37     1           
  1.16     1           
  1.0      2           
  0.54     1           
  2.21     1           
  0.81     2           
  0.77     1           
  2.14     1           
  2.21     1           
  1.51     1           
  0.24     1           
  0.18     1           
  -99.0    -99         
  1.5      1           
  1.35     1           
  2.25     1           
  1.59     1           
  0.49     1           
  0.95     1           
  2.55     2           
  0.55     2           
  0.57     1           
  0.66     2           
  1.48     1           
  3.58     1           
  1.41     2           
  2.57     1           
  0.69     1           
  0.89     1           
  0.91     2           
  0.88     2           
  0.9      1           
  2.73     1           
  1.32     1           
  -99.0    -99         
  1.29     2           
  0.44     2           
  4.3      1           
  0.07     1           
  3.21     1           
  2.43     1           
  0.43     2           
  1.02     2           
  1.67     1           
  1.45     1           
  1.4      1           
  1.18     2           
  1.7      1           
  0.72     1           
  1.67     1           
  0.44     1           
  1.69     1           
  1.75     1           
  0.37     1           
  1.01     1           
  0.17     1           
  1.46     1           
  1.01     1           
  1.17     1           
  3.03     2           
  1.16     1           
  0.82     1           
  0.71     1           
  0.9      1           
  0.49     1           
  1.27     2           
  2.13     1           
  0.83     1           
  0.74     1           
  1.55     2           
